Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Acentrogobius multifasciatus,367199,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius nebulosus,312542,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius pellidebilis,1011091,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius pflaumii,278785,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius quinquemaculatus,1493124,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius simplex,219371,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius suluensis,278787,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius therezieni,1013613,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius vanderloosi,1376174,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius viganensis,278788,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius violarisi,1376175,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius virgatulus,1495508,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius viridipunctatus,219369,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronichthys fissipinnis,1605248,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronichthys leptos,1010361,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronura breviperula,309247,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronura gracilissima,217980,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronura gracillima,217978,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentronura tentaculata,217979,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrophryne dolichonema,279484,Unknown or undetermined,452074,
Acentrophryne longidens,279485,Unknown or undetermined,452074,
Aceratias macrorhinus,298285,Unknown or undetermined,452074,
Acestridium colombiense,1525288,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestridium dichromum,1010313,Likely to produce sound under natural conditions but unconfirmed,452075,
